"I.01.035","HN 372n53","reference","in the context of discussing ērato and Arētē"
"I.01.043-52","HN 253n153","reference","comment on Apollo’s arrows indicating death by disease, in the context of discussing O.07.063-066"
"I.01.247-253","HN 10n2","quoted and translated","discussion of the motif of Nestor’s three-generation lifespan in both the Iliad and the Odyssey"
"I.01.272","HN 608n202","quoting and translating part of the line","commentary on Nestor’s comparison between the heroes of his youth and those at Troy as possible model for comparisons of men of today with heroes at Troy"
"I.01.578-579","HN 693n82","reference","discussing Hephaistos’ being the son of Hera and Zeus in Homer, in contrast to in Hesiod"
"I.02.033-34","HN 159n52","part of line quoted and translated","commentary on the dream sent by Zeus to Agamemnon in the form of Nestor"
"I.02.111-115","HN 187n82","reference","contrast between Nestor who affirms the positive sign from Zeus regarding the Achaeans return and Agamemnon who denies it"
"I.02.112","HN 188n83","reference","comment on the formulaic language of Zeus’ promising and nodding in assent in response to prayer (of returning from Troy)"
"I.02.115","HN 335","reference","in the context of interpreting Menelaos as “he who incites the warfolk”; example of laos as referring to one’s own even with ōlese"
"I.02.164","HN 186n80","reference","commentary on Odysseus’ restraining and Nestor’s inciting the Achaeans, corresponding to the contrast between them on their nostos (as the mortal and immortal twins, respectively)"
"I.02.180","HN 186n80","reference","commentary on Odysseus’ restraining and Nestor’s inciting the Achaeans, corresponding to the contrast between them on their nostos (as the mortal and immortal twins, respectively)"
"I.02.189","HN 186n80","reference","commentary on Odysseus’ restraining and Nestor’s inciting the Achaeans, corresponding to the contrast between them on their nostos (as the mortal and immortal twins, respectively)"
"I.02.198-206","HN 186n80","reference","commentary on Odysseus’ restraining and Nestor’s inciting the Achaeans, corresponding to the contrast between them on their nostos (as the mortal and immortal twins, respectively)"
"I.02.221","HN 186n80","reference","commentary on Odysseus’ restraining and Nestor’s inciting the Achaeans, corresponding to the contrast between them on their nostos (as the mortal and immortal twins, respectively)"
"I.02.236","HN 39n69","reference","in the context of discussing the interpretation of Nestor’s name and the meaning of forms from the root *nes- as “safe return home” or without “home” where it needed to be specified"
"I.02.265-269","HN 186n80","reference","commentary on Odysseus’ restraining and Nestor’s inciting the Achaeans, corresponding to the contrast between them on their nostos (as the mortal and immortal twins, respectively)"
"I.02.299-300","HN 186n81","quoted and translated","in the context of discussing the contrast between Odysseus and Nestor in terms of their referring to signs from gods (Odysseus recalls one interpreted by Calchas, Nestor one he saw for himself)"
"I.02.344-345","HN 186n80","reference","commentary on Odysseus’ restraining and Nestor’s inciting the Achaeans, corresponding to the contrast between them on their nostos (as the mortal and immortal twins, respectively)"
"I.02.344-350","HN 188n83","quoted and translated","comment on the formulaic language of Zeus’ promising and nodding in assent in response to prayer (of returning from Troy) and the variation on it in this passage"
"I.02.348-349","HN 186","translation of part of line","in the context of discussing the contrast between Odysseus and Nestor in terms of their referring to signs from gods (Odysseus recalls one interpreted by Calchas, Nestor one he saw for himself)"
"I.02.350-353","HN 186","quoted and translated","in the context of discussing the contrast between Odysseus and Nestor in terms of their referring to signs from gods (Odysseus recalls one interpreted by Calchas, Nestor one he saw for himself)"
"I.02.365","HN 335","reference in the context of interpreting Menelaos as “he who incites the warfolk”","example of laos as referring to one’s own in contexts where there is a contrast between “leader(s)” and those who “follow”"
"I.02.494-510","HN 479n275","reference","discussion of the singularity of the Athenian entry in the Catalogue of Ships and comparison with other entries (here, Boeotia)"
"I.02.511-516","HN 479n275","reference","discussion of the singularity of the Athenian entry in the Catalogue of Ships and comparison with other entries (here, Orkhomenos)"
"I.02.536-545","HN 479n275","reference","discussion of the singularity of the Athenian entry in the Catalogue of Ships and comparison with other entries (here, Euboea)"
"I.02.546-551","HN 345n6","reference","discussion of evidence for Athena and Erechtheus as a pair, and this passage from the Catalogue of Ships as reflecting later circumstances than O.07.078-081"
"I.02.546-551","HN 409","references","discussion of the temple of Athena and Erechtheus in Athens and the latter’s removal from it so that it was only Athena Polias’, and the passage, correctly understood, as presupposing that the shrine of Erechtheus was separate from the temple of Athena"
"I.02.546-551","HN 412","reference","discussion of the temple of Athena and Erechtheus in Athens and the latter’s removal from it so that it was only Athena Polias’, and the passage as reflecting the state of affairs after Erechtheus had taken over Poseidon’s shrine"
"I.02.546-551","HN 445","quoted and translated","discussion of Erechtheus temple and yearly sacrifices"
"I.02.546-551","HN 466n243","reference","the passage as reflecting Erechtheus birth from Earth instead of from Athena"
"I.02.546-556","HN 394","quoted and translated","discussion of relationship of Athena (Polias) and Erechtheus, and contrast with their representation in O.07"
"I.02.547","HN 409n117","quoting and translating part of the line","discussion of interpreting the temple mentioned as Erechtheus’, not Athena’s"
"I.02.547","HN 482","reference","comment on Erechtheus epithet megalētōr as one used only of heroic warriors (to convey the warlike nature of Athenians)"
"I.02.547-549","HN 411","reference","comment on Erechtheus’ relocation as described in terms of Athena’s own primordial act, and as reflecting their new cult relationship"
"I.02.547-549","HN 460","quoted and translated","discussion of the different versions of Erectheus’ myth and Athena’s role in the newer version as given in the Catalogue of Ships"
"I.02.548","HN 460","reference","comment on Athena as kourotrophos as compatible with her virginity and how her larger role as a mother goddess is limited here"
"I.02.548","HN 482","reference","comment dios thugatēr as Athena’s epithet here as marking her as a war goddess, not the old Athenian mother goddess (to convey the warlike nature of Athenians)"
"I.02.549","HN 395, 409n117, 410n117","quoting part of the line","comment on interpreting eō en pioni nēō as “in his own rich temple” (i.e. Erechtheus’ as opposed to Athena’s)"
"I.02.549","HN 446n193","reference","comment on the ambiguity of the pronouns (his or her temple) and how the passage does therefore not openly conflict with the old situation between Erechtheus and Athena"
"I.02.549-551","HN 395","reference","discussion of relationship of Athena (Polias) and Erechtheus, and contrast with their representation in O.07"
"I.02.550","HN 446n193","reference","comment on the ambiguity of the pronouns (his or her temple) and how the passage does therefore not openly conflict with the old situation between Erechtheus and Athena"
"I.02.550-551","HN 414n130","reference","comparison of sacrifices to Poseidon Erechtheus in Euripides and Iliad"
"I.02.550-551","HN 476","quoted and translated","comparison of this passage on sacrifices to Erechtheus with Hymn to Demeter 259-267 (cult of Demophoon)"
"I.02.550-551","HN 476n268","reference","comparison of this passage on sacrifices to Erechtheus with Hymn to Demeter 259-267 (cult of Demophoon)"
"I.02.550-551","HN 481n278","reference","arguments that only parts of the Athenian catalogue have an Athenian origin"
"I.02.552-556","HN 483","quoted and translated","analysis of the Athenian entry in the Catalogue of Ships as conveying the warlike nature of the Athenians"
"I.02.553-555","HN 481n278","reference","arguments that only parts of the Athenian catalogue have an Athenian origin"
"I.02.557-558","HN 322, 322n227","references","alleged interpolations in the Catalogue of the Ships in antiquity and the Megarians alternative version with no mention of Athens"
"I.02.557-558","HN 477n270","quoted and translated","on the Athenian forgery in support of Athens’ claim to Salamis"
"I.02.557-558","HN 669n46","reference","on Solon’s alleged addition to the Catalogue of Ships to support Athens’ claim to Salamis and taking Homeric poems literally in matters of geography and politics in antiquity"
"I.02.558","HN 321, 321n225, 322n226","references","alleged interpolations in the Catalogue of Ships in antiquity"
"I.02.558","HN 511","reference","attribution of the interpolation in the Catalogue of Ships to both Solon and Peisistratos"
"I.02.569-578","HN 479n277","quoted and translated","on Agamemnon’s Mycenae as not standing alone but as one of twelve towns in its entry in the Catalogue of Ships"
"I.02.573","HN 321n225","reference","example of an attested interpolation of one letter (Gonoessan for Donoessan)"
"I.02.575","HN 666n35","reference","discussion of location of Aigialos"
"I.02.578","HN 335","reference in the context of interpreting Menelaos as “he who incites the warfolk”","example of laos as referring to one’s own in contexts where there is a contrast between “leader(s)” and those who “follow”"
"I.02.580","HN 336","reference in the context of interpreting Menelaos as “he who incites the warfolk”","analysis of how alive the meaning of the name Agelaos was based on the collocation of agein with laos"
"I.02.591-592","HN 654n4","quoted and translated","comparison of the geography in I.11.722-736 with that in the passage (esp. regarding the Minyan river, Arene, and Thryon)"
"I.02.591-592","HN 676","quoted and translated","comparison of the geography in Hom. Hymn to Apollo 418424 with that in the passage (esp. regarding the Alpheios river)"
"I.02.592","HN 652n3","reference","comparison of the geography in I.11.711-713 with that in the line (esp. regarding the identification of Thryoessa and Thryon in the two passages)"
"I.02.592","HN 664n30","reference","comparison of the geography in I.11.711 with that in the line (esp. regarding Thryoessa and Thryon in the two passages)"
"I.02.592","HN 668n40","quotation","identification of Thryon and Epitalion, and Strabo’s alternative interpretation of the line according to which Epitalion was Aipu and Thryon the ford of Alpheios rather than a town"
"I.02.592","HN 668n43","reference","analysis of the location of Thryon/identification with Epitalion"
"I.02.592","HN 680","reference","analysis of the Hom. Hymns’ quoting the Homeric poems (here, Hom. Hymn to Apollo 423 quoting this line)"
"I.02.592","HN 768","quoted and translated","analysis of a pattern violating Hermann’s bridge and this feature in the Hom. Hymn to Apollo’s quoting this line (and contra Richard Martin 2000a)"
"I.02.593","HN 667","quoting and translating part of the line","identification of Thryoessa of I.11 with Thryon of this line"
"I.02.596","HN 116n20","reference","analysis of the location of Oichalia (and connections to Makhaon and Podaleirios), in the context of the analysis of Thessaly’s and Messenia’s claims to be Makhaon’s homeland"
"I.02.615-619","HN 663n29","quoted and translated","analysis of the Epeian entry in the Catalogue of Ships and comparison with the geography in I.11"
"I.02.615-624","HN 132n27","reference","analysis of Amarynkeus’ and Augeias’ “age”/order (in terms of generations) and comparison with I.11 and I.23 regarding them"
"I.02.616-617","HN 663n29","reference","analysis of the construction in combination of the construction in I.02.617 as suspect, therefore making its relationship to I.11.757 uncertain (where the expansion seems to be based on I.02.617)"
"I.02.617","HN 664n30","reference","comparison of the line with I.11.757 and the geography in both passages"
"I.02.617","HN 753","reference","analysis of the location of the Olenian Rock and other features of the geography in the passage and I.11"
"I.02.620-621","HN 111n10","reference","comment on the names of the Molione and comparison with Hesiod fr. 17a14-16 MW"
"I.02.622","HN 132n27","reference","analysis of Amarynkeus’ and Augeias’ “age”/order (in terms of generations), here the possibility that Amarunkeidēs in the line in question means “descendant of Amarynkeus” rather than “son of Amarynkeus”"
"I.02.629","HN 39n70","reference","discussion of asmenos as root aorist participle with zero-grade of the root *nes and García Ramón’s argument that apenassato in this line is from neomai, not naiō"
"I.02.671-675","HN 480","quoted and translated","contrast between the entries for Sume (singled out for its weakness and that of its leader Nireus) and for Athens, both of which name only one town"
"I.02.675","HN 335","reference in the context of interpreting Menelaos as “he who incites the warfolk”","example of laos as referring to one’s own in contexts where there is a contrast between “leader(s)” and those who “follow”"
"I.02.708","HN 335","reference in the context of interpreting Menelaos as “he who incites the warfolk”","example of laos as referring to one’s own in contexts where there is a contrast between “leader(s)” and those who “follow”"
"I.02.729-732","HN 114n18","quoted and translated","analysis of Makhaon and Podaleirios as twins and comparison with Nestor (and Periklymenos)"
"I.02.730","HN 116n20","reference","analysis of the location of Oichalia (and connections to Makhaon and Podaleirios)"
"I.02.748-755","HN 707n117","quoted and translated","analysis of the location of the Ainianes and the Perrhaiboi in the Iliad and the Hom. Hymn to Apollo"
"I.02.753-754","HN 708n118","reference","comparison of Strabo and Homer on the waters of Peneios and Titaresios not mixing"
"I.02.756-759","HN 479n275","reference","discussion of the singularity of the Athenian entry in the Catalogue of Ships and comparison with other entries (here, Boeotia)"
"I.02.763","HN 211n111","reference","attitude towards females in the chariot race compared with that of the role of female in the failure of Agamemnon’s (and Menelaus’) nostos"
"I.02.779","HN 335","reference in the context of interpreting Menelaos as “he who incites the warfolk”","this line as one of the counterexamples for identifying unmodified laos as one’s own"
"I.02.818","HN 335","reference in the context of interpreting Menelaos as “he who incites the warfolk”","example of laos as referring to one’s own in contexts where there is a contrast between “leader(s)” and those who “follow”"
"I.02.864-866","HN 578n140","quoted and translated","analysis of the Gygaean lake (name, location) in the context of discussing the Homeric poems’ awareness of the Lydians and Gyges"
"I.02.864-866","HN 619n236","reference","analysis of the Homeric references to the Lydians in the context of discussing the performance of the Homeric poems at the Panionia"
"I.02.865","HN 631","reference","analysis of Iliadic references to “the lake of Gyges”"
"I.02.867-869","HN 619n236","quoted and translated","analysis of the Homeric reference to Cape Mykale, the site of the future Panionia, in the context of discussing the performance of the Homeric poems at the Panionia"
"I.02.867-869","HN 646","reference","analysis of an Ionian Athens in I.13.685-691 as fitting in with a Carian Miletus in the Trojan Catalogue of Ships"
"I.02.867-875","HN 619n236","reference","analysis of the Homeric references to the Lydians in the context of discussing the performance of the Homeric poems at the Panionia"
"I.02.876-877","HN 619n236","reference","analysis of the Homeric references to the Lydians in the context of discussing the performance of the Homeric poems at the Panionia"
"I.03.052","HN 223n127","quoted and translated","example of possibility that in places Menelaos’s name was interpreted differently from the standard “he who reminds the warfolk”"
"I.03.144","HN 79n180","reference","analysis of the suggestion of Helen’s earlier abduction, otherwise not told, in the Iliad"
"I.03.146","HN 332","reference","analysis of Hector and Polydamas as treated as virtual twins in the Iliad, though not actually even brothers (as this line about Polydamas’ father shows)"
"I.03.237","HN 75n162","reference","epithets of Castor and Polydeuces and how they are distinguished from one another"
"I.03.237","HN 84","reference","epithet of Castor as “horse-breaking” to distinguish him from Polydeuces and parallels from Indic and the IE twin myth"
"I.03.243-244","HN 80","quoted and translated","analysis of Castor and Polydeuces as represented in the Iliad (as dead heroes)"
"I.04.073","HN 26n37","reference","analysis of (ep)otrunō in its connections with menō"
"I.04.091","HN 335","reference in the context of interpreting Menelaos as “he who incites the warfolk”","example of laos as referring to one’s own in contexts where there is a contrast between “leader(s)” and those who “follow”"
"I.04.193-197","HN 115n19","reference","analysis of Makhaon and Podaleirios as an example of a twin myth, and here, the distinction between their respective skills as healers"
"I.04.202","HN 335","reference in the context of interpreting Menelaos as “he who incites the warfolk”","example of laos as referring to one’s own in contexts where there is a contrast between “leader(s)” and those who “follow”"
"I.04.295","HN 14","reference","analysis of the names of Neleus’ sons in the Iliad and Hesiod"
"I.04.295","HN 14n8","quoted and translated","analysis of the names of Neleus’ sons in the Iliad and Hesiod"
"I.04.308-309","HN 52n107","quoted and translated","analysis of Nestor’s association with noos"
"I.04.319","HN 716n134","reference","occurrence of Ereuthalion in this line as anticipating Nestor’s story in I.07, which is an argument against taking the latter as the poet’s invention"
"I.04.325","HN 600n189","quoting and translating part of the line","analysis of Nestor’s epithet in Homer and Gerenios as deriving from geras"
"I.04.370-400","HN 569n124","reference","analysis of the foreshadowing of Diomedes’ role in the second segment of the poem"
"I.04.390","HN 583n149","reference","analysis of the correspondences between Iliad and Solon frr. regarding Athena’s protection (of Athens/Diomedes…)"
"I.04.401-421","HN 569n124","reference","analysis of the foreshadowing of Diomedes’ role in the second segment of the poem"
"I.04.407","HN 336","reference in the context of interpreting Menelaos as “he who incites the warfolk”","analysis of how alive the meaning of the name Agelaos was based on the collocation of agein with laos"
"I.04.429-430","HN 335","reference in the context of interpreting Menelaos as “he who incites the warfolk”","example of laos as referring to one’s own in contexts where there is a contrast between “leader(s)” and those who “follow”"
"I.04.430","HN 335","reference in the context of interpreting Menelaos as “he who incites the warfolk”","example of laos as referring to one’s own in contexts where there is a contrast between “leader(s)” and those who “follow”"
"I.04.516","HN 215n114","reference","analysis of methiemi and its applications to Menelaus"
"I.05.002","HN 376n59","reference","analysis of Athena’s tharsos (here, putting it in her favorites’ hearts)"
"I.05.009-024","HN 463n239","reference (in Robertson 1996 quote)","analysis of Hephaistos’ arrival in Athens (dating) and his connections with the Troad and Sigeion"
"I.05.125-126","HN 146n42","quoted and translated","comparison of Diomedes and Athena to the Epeian twins (of I.23)"
"I.05.135-136","HN 26n37","quoting and translating parts","analysis of (ep)otrunō in its connections with menos and memona"
"I.05.330-333","HN 494","quoted and translated","analysis of Enuō in the Iliad in the context of discussing the Mykenaean war goddess found in “Tsountas’ House”"
"I.05.344-346","HN 147n44","reference","analysis of Apollo’s anger at Diomedes"
"I.05.397","HN 36n64, 537n55","translating and transliterating part of the line","analysis of the etymology of Neleus and how it was understood in Homer, connection with nēleēs and the underworld, and in this context also Pylos as equated with the “gates” of Hades"
"I.05.412","HN 185n79","reference","analysis of the nostoi and that of Diomedes’ in particular, with reference to his wife’s Aigialeia’s being called periphrōn, characteristic epithet of Penelope"
"I.05.436-442","HN 147n44","reference","analysis of Apollo’s anger at Diomedes"
"I.05.440-442","HN 147n44","quoted and translated","analysis of Apollo’s anger at Diomedes"
"I.05.443-444","HN 147n44","reference","analysis of Apollo’s anger at Diomedes"
"I.05.473-474","HN 24n34","quoting and translating a part","analysis of the meaning of Hector’s name (from ekhō) and how it is evoked in the Iliad (as here)"
"I.05.482","HN 25n37","translating and quoting parts","analysis of (ep)otrunō in its connections with menō"
"I.05.486","HN 335","reference in the context of interpreting Menelaos as “he who incites the warfolk”","example of laos as referring to one’s own in contexts where there is a contrast between “leader(s)” and those who “follow”"
"I.05.544-546","HN 751","reference","analysis of the location of Phērai and an objection to its location in Messenia"
"I.05.545","HN 668n42","quoted and translated","in the context of discussing the extent of the Pylian kingdom"
"I.05.592-595","HN 495","quoted and translated","analysis of Enuō in the Iliad in the context of discussing the Mykenaean war goddess found in “Tsountas’ House”"
"I.05.733-735","HN 388n75","quoted and translated","analysis of Athena’s association with/wearing peplos"
"I.05.733-742","HN 354n25","quoted and translated","discussing the accessories of the statue of Athena Polias at Athens, here especially the aegis and the gorgoneion in the context of discussing the two aspects of Athena, as a virgin war goddess and as a mother goddess"
"I.05.733-742","HN 395n86","reference","discussing the accessories of the statue of Athena Polias at Athens, here especially the aegis and the gorgoneion in the context of discussing the two aspects of Athena, as a virgin war goddess and as a mother goddess"
"I.05.733-742","HN 397","quoted and translated","analysis of the change of Athena from the mother goddess to the virgin war goddess at Athens under the influence of the Homeric poems"
"I.05.733-742","HN 405","reference","analysis of the close alliance of Athena with Zeus (in the Iliad and in the myth of the gigantomachy)"
"I.05.734-735","HN 368n49","quoting and translating a part","analysis of Athena’s association with crafts and in particular the production of clothing"
"I.05.785","HN 24, 24n31","references","analysis of the name Stentōr (in the context of analyzing names in -tōr)"
"I.05.800-808","HN 347n10","reference","analysis of Athena’s relationship to Erechtheus, as the palace goddess protecting the king and whose protection passed from father to son (as in this passage, regarding Diomedes)"
"I.05.835-863","HN 146n41","reference","comparison of Diomedes and Athena to the Epeian twins (of I.23)"
"I.05.840","HN 146n42","reference","comparison of Diomedes and Athena to the Epeian twins (of I.23)"
"I.05.875","HN 496","quoting part","analysis of the myth of Athena’s birth from Zeus’ head"
"I.05.875-880","HN 496","reference","analysis of the myth of Athena’s birth from Zeus’ head"
"I.05.880","HN 496","quoting part","analysis of the myth of Athena’s birth from Zeus’ head"
"I.05.893","HN 336","quoting part","analysis of damnēmi and Laodamas"
"I.06.132","HN 296n199","reference","analysis of the spelling of Dionysos in Homeric poetry with this line as an example of the spelling with omega (as opposed to the Attic spelling with omicron, in the context of analyzing O.11.321-325 and the evidence for its being an interpolation)"
"I.06.135","HN 296n199","reference","analysis of the spelling of Dionysos in Homeric poetry with this line as an example of the spelling with omega (as opposed to the Attic spelling with omicron, in the context of analyzing O.11.321-325 and the evidence for its being an interpolation)"
"I.06.256-257","HN 407n111","quoting part","analysis of Athena Polias and Zeus Polieus at Athens, and here, of this passage as suggesting an association of them in cult on the Trojan acropolis"
"I.06.264-312","HN 355n28","reference","analysis of the relation of the goddess and her image in the context of analyzing the statue of Athena on the Athenian acropolis (with this passage from Iliad as an illustration)"
"I.06.266-267","HN 407n111","reference","analysis of Athena Polias and Zeus Polieus at Athens, and here, of this passage as suggesting an association of them in cult on the Trojan acropolis"
"I.06.295","HN 404n102","quoting and translating a part (“shone like a star”)","analysis of the relationship between Athena’s peplos described in the Iliad and the name of the giant slayed by Athena"
"I.06.297","HN 407n111","quoting part","analysis of Athena Polias and Zeus Polieus at Athens, and here, of this passage as suggesting an association of them in cult on the Trojan acropolis"
"I.06.302-303","HN 355","quoted and translated","analysis of the statue of Athena on the Athenian acropolis with the passage from Iliad as an illustration"
"I.06.304","HN 372n53","reference","in the context of discussing ērato and Arētē"
"I.06.305-309","HN 361n39","quoted and translated","analysis of Arete’s pose as evidence for the pose of the statue of Athena Polias in Athens"
"I.06.311","HN 355n28","reference","analysis of the relation of the goddess and her image in the context of analyzing the statue of Athena on the Athenian acropolis (with this passage from Iliad as an illustration)"
"I.06.403","HN 24n34","quoting and translating a part","analysis of the meaning of Hector’s name (from ekhō) and how it is evoked in the Iliad (as here)"
"I.06.523","HN 215n114","quoting and translating a part","analysis of methienai and contrasting it with loose-wittedness, and its application to Menelaus"
"I.07.133","HN 716n134","references","analysis of (the location of) the river Keladon"
"I.07.133-134","HN 715","reference","analysis of the location of Pylos/battle between Pylos and Arcadia in Nestor’s story in Iliad 7 and its reworking to locate Pylos in Elis (as opposed to Messenia)"
